,q,n,width,covered,estimator,lower,upper
38,0.5,49,3.3000000000000003,1,prediction-powered,3.6,6.9
39,0.5,49,3.1246441325876297,1,classical,3.40238714986614,6.52703128245377
40,0.5,49,2.8000000000000007,1,prediction-powered,4.0,6.800000000000001
41,0.5,49,4.646699303304761,1,classical,3.90166285570294,8.5483621590077
42,0.5,49,3.7,1,prediction-powered,4.2,7.9
43,0.5,49,3.7991217874703302,1,classical,3.9186765931613,7.71779838063163
44,0.5,49,3.1000000000000005,1,prediction-powered,4.2,7.300000000000001
45,0.5,49,2.63001360066675,1,classical,3.03263934066631,5.66265294133306
46,0.5,49,3.1000000000000005,1,prediction-powered,4.7,7.800000000000001
47,0.5,49,3.98148111065394,1,classical,3.72362539250644,7.70510650316038
48,0.5,49,4.1,1,prediction-powered,3.3000000000000003,7.4
49,0.5,49,4.668721514967101,1,classical,4.67123415843155,9.33995567339865
50,0.5,49,3.499999999999999,1,prediction-powered,4.6000000000000005,8.1
51,0.5,49,5.037304640406011,1,classical,5.09919099537709,10.1364956357831
52,0.5,49,3.2,1,prediction-powered,4.2,7.4
53,0.5,49,4.66677899347153,1,classical,3.74876674885424,8.41554574232577
54,0.5,49,3.1000000000000005,1,prediction-powered,4.2,7.300000000000001
55,0.5,49,1.8219695987569802,0,classical,3.5396045152527,5.36157411400968
56,0.5,49,3.3999999999999995,1,prediction-powered,4.1000000000000005,7.5
57,0.5,49,3.778194755639559,1,classical,4.52656066265777,8.30475541829733
58,0.5,49,3.500000000000001,1,prediction-powered,4.3,7.800000000000001
59,0.5,49,3.73087021376911,1,classical,3.21980889626071,6.95067911002982
60,0.5,49,3.9000000000000012,1,prediction-powered,4.3,8.200000000000001
61,0.5,49,4.658460186418499,1,classical,5.20516334514759,9.86362353156609
62,0.5,49,4.000000000000001,1,prediction-powered,4.3,8.3
63,0.5,49,4.977233858833889,1,classical,3.71304554312864,8.69027940196253
64,0.5,49,2.9000000000000004,1,prediction-powered,4.4,7.300000000000001
65,0.5,49,3.80813459397646,1,classical,4.14625452065806,7.95438911463452
66,0.5,49,2.5,1,prediction-powered,4.5,7.0
67,0.5,49,3.41895675378109,1,classical,3.54089165446234,6.95984840824343
68,0.5,49,2.8999999999999995,1,prediction-powered,4.800000000000001,7.7
69,0.5,49,1.9851502095417501,1,classical,4.25360204775615,6.2387522572979
70,0.5,49,3.500000000000001,1,prediction-powered,4.7,8.200000000000001
71,0.5,49,4.92292872522371,1,classical,5.62068919915069,10.5436179243744
72,0.5,49,2.8000000000000007,1,prediction-powered,5.0,7.800000000000001
73,0.5,49,2.3753655475530397,1,classical,3.35402375861523,5.72938930616827
74,0.5,49,3.2,1,prediction-powered,4.0,7.2
75,0.5,49,3.01104260721303,1,classical,3.08174395319441,6.09278656040744
76,0.5,49,3.1000000000000005,1,prediction-powered,4.0,7.1000000000000005
77,0.5,49,2.3583947351051195,1,classical,3.50475039230035,5.86314512740547
78,0.5,49,2.500000000000001,1,prediction-powered,4.3,6.800000000000001
79,0.5,49,3.2402627468839604,1,classical,4.26840692705836,7.50866967394232
80,0.5,49,3.2,1,prediction-powered,4.1000000000000005,7.300000000000001
81,0.5,49,3.87989663498469,1,classical,4.64708936544982,8.52698600043451
82,0.5,49,3.7,1,prediction-powered,4.0,7.7
83,0.5,49,4.168656474068709,1,classical,4.47954432745115,8.64820080151986
84,0.5,49,3.9000000000000004,1,prediction-powered,4.0,7.9
85,0.5,49,4.8846536478806595,1,classical,3.21187506502951,8.09652871291017
86,0.5,49,3.6000000000000005,1,prediction-powered,4.2,7.800000000000001
87,0.5,49,3.0334528780921,1,classical,5.44727647298408,8.48072935107618
88,0.5,49,2.9000000000000004,1,prediction-powered,4.0,6.9
89,0.5,49,4.43229240245156,1,classical,5.44066428794379,9.87295669039535
90,0.5,49,2.7,1,prediction-powered,4.0,6.7
91,0.5,49,3.16941520206083,1,classical,3.52604068460856,6.69545588666939
92,0.5,49,2.1000000000000005,1,prediction-powered,4.3,6.4
93,0.5,49,3.0298846487815703,1,classical,3.44883361025649,6.47871825903806
94,0.5,49,2.8,1,prediction-powered,4.800000000000001,7.6000000000000005
95,0.5,49,3.482324617446909,1,classical,4.53950777627596,8.02183239372287
96,0.5,49,2.3,1,prediction-powered,4.4,6.7
97,0.5,49,2.0873553981414297,1,classical,4.67466020442793,6.76201560256936
98,0.5,49,3.4000000000000004,1,prediction-powered,4.5,7.9
99,0.5,49,2.91212397608626,1,classical,3.85160720873761,6.76373118482387
100,0.5,49,4.300000000000001,1,prediction-powered,4.0,8.3
101,0.5,49,4.009503967823069,1,classical,4.34378533872687,8.35328930654994
102,0.5,49,2.8,1,prediction-powered,4.9,7.7
103,0.5,49,3.90588458048771,1,classical,4.8247941792776,8.73067875976531
104,0.5,49,2.9,1,prediction-powered,3.8000000000000003,6.7
105,0.5,49,4.38248805819326,1,classical,4.72756380863472,9.11005186682798
106,0.5,49,3.5000000000000004,1,prediction-powered,3.8000000000000003,7.300000000000001
107,0.5,49,2.3569305473431497,1,classical,3.34096403808518,5.69789458542833
108,0.5,49,3.299999999999999,1,prediction-powered,4.800000000000001,8.1
109,0.5,49,4.745213765225291,1,classical,4.38649362023393,9.13170738545922
110,0.5,49,3.6000000000000005,1,prediction-powered,3.5,7.1000000000000005
111,0.5,49,4.156941630393119,1,classical,3.93861746075278,8.0955590911459
112,0.5,49,4.2,1,prediction-powered,3.4000000000000004,7.6000000000000005
113,0.5,49,3.55143764941747,1,classical,4.33366861343141,7.88510626284888
114,0.5,49,4.1000000000000005,1,prediction-powered,3.2,7.300000000000001
115,0.5,49,2.5830082279853,0,classical,2.76214834938135,5.34515657736665
116,0.5,49,3.1000000000000005,1,prediction-powered,4.2,7.300000000000001
117,0.5,49,3.4167716720309596,0,classical,6.26985954671574,9.6866312187467
118,0.5,49,3.000000000000001,1,prediction-powered,4.3,7.300000000000001
119,0.5,49,3.696842912453981,1,classical,5.48131244960557,9.17815536205955
120,0.5,49,2.7,1,prediction-powered,4.0,6.7
121,0.5,49,5.87106310030154,1,classical,3.79303002119346,9.664093121495
122,0.5,49,2.4,1,prediction-powered,3.8000000000000003,6.2
123,0.5,49,3.67378467387398,1,classical,3.92004851786138,7.59383319173536
124,0.5,49,4.0,1,prediction-powered,3.3000000000000003,7.300000000000001
125,0.5,49,2.88069595074049,0,classical,2.73744741829094,5.61814336903143
126,0.5,49,2.6000000000000005,1,prediction-powered,4.5,7.1000000000000005
127,0.5,49,3.0190021955001702,1,classical,4.11159710553673,7.1305993010369
128,0.5,49,3.3000000000000003,1,prediction-powered,3.8000000000000003,7.1000000000000005
129,0.5,49,3.6494993001300404,1,classical,4.14718662642981,7.79668592655985
130,0.5,49,2.8000000000000007,1,prediction-powered,4.5,7.300000000000001
131,0.5,49,2.6189730238997697,1,classical,3.34097626290042,5.95994928680019
132,0.5,49,4.300000000000001,1,prediction-powered,3.0,7.300000000000001
133,0.5,49,3.3963338023617595,1,classical,5.15201922413933,8.54835302650109
134,0.5,49,3.7000000000000006,1,prediction-powered,3.6,7.300000000000001
135,0.5,49,3.41859165818907,1,classical,3.24914300702743,6.6677346652165
136,0.5,49,4.2,1,prediction-powered,3.7,7.9
137,0.5,49,3.1278488172947,1,classical,3.61407785202763,6.74192666932233
138,0.5,49,3.1000000000000005,1,prediction-powered,4.0,7.1000000000000005
139,0.5,49,3.01917980210855,1,classical,3.99485605882098,7.01403586092953
140,0.5,49,3.3,1,prediction-powered,3.9000000000000004,7.2
141,0.5,49,3.18019737564473,1,classical,3.8713741160658,7.05157149171053
142,0.5,49,3.8000000000000007,1,prediction-powered,4.5,8.3
143,0.5,49,4.85394581238523,1,classical,3.43427699288016,8.28822280526539
144,0.5,49,2.8000000000000007,1,prediction-powered,4.5,7.300000000000001
145,0.5,49,3.31368377026679,1,classical,3.48944542622497,6.80312919649176
146,0.5,49,2.8000000000000007,1,prediction-powered,4.5,7.300000000000001
147,0.5,49,4.01708781626326,1,classical,4.12476452970291,8.14185234596617
148,0.5,49,2.5,1,prediction-powered,4.5,7.0
149,0.5,49,4.30058720231827,1,classical,5.30786425462355,9.60845145694182
150,0.5,49,3.5000000000000004,1,prediction-powered,3.8000000000000003,7.300000000000001
151,0.5,49,5.123723163468649,1,classical,3.6872431834377,8.81096634690635
152,0.5,49,3.6,1,prediction-powered,3.3000000000000003,6.9
153,0.5,49,3.2067336471660806,1,classical,4.33708153361758,7.54381518078366
154,0.5,49,3.5000000000000004,1,prediction-powered,3.8000000000000003,7.300000000000001
155,0.5,49,3.65167851147481,1,classical,3.53727575291149,7.1889542643863
156,0.5,49,4.0,1,prediction-powered,3.8000000000000003,7.800000000000001
157,0.5,49,3.50182334058281,1,classical,3.09282769405059,6.5946510346334
158,0.5,49,3.5,1,prediction-powered,5.0,8.5
159,0.5,49,2.94321920454799,1,classical,4.95992221460822,7.90314141915621
160,0.5,49,2.0,1,prediction-powered,4.6000000000000005,6.6000000000000005
161,0.5,49,2.59955281858789,1,classical,4.21863642875015,6.81818924733804
162,0.5,49,3.3,1,prediction-powered,3.7,7.0
163,0.5,49,1.9548543080878895,0,classical,2.96540940604899,4.92026371413688
164,0.5,49,4.5,1,prediction-powered,3.1,7.6000000000000005
165,0.5,49,4.222505558460021,1,classical,5.10917196592955,9.33167752438957
166,0.5,49,3.7,1,prediction-powered,4.6000000000000005,8.3
167,0.5,49,3.607229539626311,1,classical,4.46695148276915,8.07418102239546
168,0.5,49,2.4000000000000004,1,prediction-powered,4.7,7.1000000000000005
169,0.5,49,1.9276030032030098,1,classical,4.38649362023393,6.31409662343694
170,0.5,49,3.0,1,prediction-powered,3.9000000000000004,6.9
171,0.5,49,3.26773114260105,1,classical,3.46840964250272,6.73614078510377
172,0.5,49,4.0,1,prediction-powered,3.9000000000000004,7.9
173,0.5,49,3.1421345394443403,1,classical,4.5544220171824,7.69655655662674
174,0.5,49,4.199999999999999,1,prediction-powered,3.3000000000000003,7.5
175,0.5,49,3.32027790305625,1,classical,4.25161525230818,7.57189315536443
176,0.5,49,4.3,1,prediction-powered,4.2,8.5
177,0.5,49,3.9045030681659205,1,classical,3.50892991448842,7.41343298265434
178,0.5,49,2.7,1,prediction-powered,4.4,7.1000000000000005
179,0.5,49,4.924376316365571,1,classical,4.35203986001609,9.27641617638166
180,0.5,49,2.9000000000000004,1,prediction-powered,4.2,7.1000000000000005
181,0.5,49,2.5545284721599604,0,classical,6.31127153215726,8.86580000431722
182,0.5,49,4.199999999999999,1,prediction-powered,4.4,8.6
183,0.5,49,4.925004578460891,1,classical,3.7013454739204,8.62635005238129
184,0.5,49,3.5999999999999996,1,prediction-powered,4.1000000000000005,7.7
185,0.5,49,5.89430401875746,1,classical,3.75640550651813,9.65070952527559
186,0.5,49,2.3,1,prediction-powered,5.4,7.7
187,0.5,49,2.67635467789532,1,classical,3.28387999120203,5.96023466909735
188,0.5,49,3.9000000000000004,1,prediction-powered,3.9000000000000004,7.800000000000001
189,0.5,49,4.36092435239281,1,classical,4.91839245997985,9.27931681237266
190,0.5,49,4.300000000000001,1,prediction-powered,4.0,8.3
191,0.5,49,4.25854126564115,1,classical,2.60134532680319,6.85988659244434
192,0.5,49,4.0,1,prediction-powered,4.0,8.0
193,0.5,49,3.9039972758069696,1,classical,3.1113518174405,7.01534909324747
194,0.5,49,3.3999999999999995,1,prediction-powered,4.1000000000000005,7.5
195,0.5,49,4.6553528680676,1,classical,4.6875741145901,9.3429269826577
196,0.5,49,3.2,1,prediction-powered,4.0,7.2
197,0.5,49,4.528375383091941,1,classical,4.12504037078355,8.65341575387549
198,0.5,49,4.700000000000001,1,prediction-powered,3.5,8.200000000000001
199,0.5,49,4.53620029670156,1,classical,3.71700307583586,8.25320337253742
200,0.5,49,3.4000000000000004,1,prediction-powered,5.0,8.4
201,0.5,49,5.42697010492166,1,classical,3.74396855740019,9.17093866232185
202,0.5,49,4.5,1,prediction-powered,3.4000000000000004,7.9
203,0.5,49,4.066057383815239,0,classical,5.6968813844864,9.76293876830164
204,0.5,49,2.7,1,prediction-powered,4.3,7.0
205,0.5,49,4.41479144399817,1,classical,4.52879837062651,8.94358981462468
206,0.5,49,5.000000000000001,1,prediction-powered,3.7,8.700000000000001
207,0.5,49,3.19599979600826,1,classical,4.72135177431075,7.91735157031901
208,0.5,49,2.4000000000000004,1,prediction-powered,4.7,7.1000000000000005
209,0.5,49,4.894368918596141,1,classical,3.1917191457819,8.08608806437804
210,0.5,49,3.5,1,prediction-powered,4.800000000000001,8.3
211,0.5,49,2.9821317521349595,1,classical,3.92053493673174,6.9026666888667
212,0.5,49,3.5999999999999996,1,prediction-powered,3.9000000000000004,7.5
213,0.5,49,5.213247536735551,1,classical,3.89563917603914,9.10888671277469
214,0.5,49,4.300000000000001,1,prediction-powered,4.5,8.8
215,0.5,49,4.42849178741271,1,classical,3.4667025130072,7.89519430041991
216,0.5,49,3.2,1,prediction-powered,4.0,7.2
217,0.5,49,2.65945028417868,1,classical,3.69890591682432,6.358356201003
218,0.5,49,4.1000000000000005,1,prediction-powered,3.5,7.6000000000000005
219,0.5,49,3.1735252422187403,1,classical,2.86232872837027,6.03585397058901
220,0.5,49,3.7,1,prediction-powered,4.2,7.9
221,0.5,49,3.6505263198483595,1,classical,3.79469786061248,7.44522418046084
222,0.5,49,3.8000000000000003,1,prediction-powered,3.8000000000000003,7.6000000000000005
223,0.5,49,3.38917720281942,1,classical,5.51321751679267,8.90239471961209
224,0.5,49,3.2,1,prediction-powered,3.9000000000000004,7.1000000000000005
225,0.5,49,4.26004039584374,1,classical,3.00691929513288,7.26695969097662
226,0.5,49,3.999999999999999,1,prediction-powered,4.1000000000000005,8.1
227,0.5,49,4.624497778511061,1,classical,4.52869786359934,9.1531956421104
228,0.5,49,5.100000000000001,1,prediction-powered,3.6,8.700000000000001
229,0.5,49,4.862248997913931,1,classical,4.96216401311441,9.82441301102834
230,0.5,49,3.9,1,prediction-powered,3.3000000000000003,7.2
231,0.5,49,3.2708820453232197,1,classical,3.91083662968381,7.18171867500703
232,0.5,49,4.200000000000001,1,prediction-powered,4.0,8.200000000000001
233,0.5,49,4.13990709796855,1,classical,3.82306715274881,7.96297425071736
234,0.5,49,3.1,1,prediction-powered,3.8000000000000003,6.9
235,0.5,49,1.7784978708314303,0,classical,3.11698194187442,4.89547981270585
236,0.5,49,4.2,1,prediction-powered,3.5,7.7
237,0.5,49,4.35859225483171,1,classical,3.4372461944253,7.79583844925701
238,0.5,49,5.300000000000001,1,prediction-powered,3.6,8.9
239,0.5,49,4.209887846669449,1,classical,3.12530075627214,7.33518860294159
240,0.5,49,3.3000000000000007,1,prediction-powered,4.5,7.800000000000001
241,0.5,49,4.26211529165277,1,classical,4.47041164487839,8.73252693653116
242,0.5,49,4.0,1,prediction-powered,3.9000000000000004,7.9
243,0.5,49,3.2134200389742995,1,classical,5.17633989619569,8.38975993516999
244,0.5,49,1.9000000000000004,1,prediction-powered,5.0,6.9
245,0.5,49,2.66295363401406,1,classical,3.24154050039406,5.90449413440812
246,0.5,49,3.9000000000000004,1,prediction-powered,3.7,7.6000000000000005
247,0.5,49,4.088799061494919,1,classical,3.53258141334148,7.6213804748364
248,0.5,49,2.1000000000000005,1,prediction-powered,5.2,7.300000000000001
249,0.5,49,1.83557206191964,1,classical,4.0408357442313,5.87640780615094
250,0.5,49,1.5,1,prediction-powered,4.9,6.4
251,0.5,49,1.0492221708952698,1,classical,4.66016645092453,5.7093886218198
252,0.5,49,2.4000000000000004,1,prediction-powered,4.4,6.800000000000001
253,0.5,49,2.3366559688033393,1,classical,4.53452067709356,6.8711766458969
254,0.5,49,5.100000000000001,1,prediction-powered,3.1,8.200000000000001
255,0.5,49,5.07054949131995,1,classical,2.86232872837027,7.93287821969022
256,0.5,49,3.1000000000000005,1,prediction-powered,4.5,7.6000000000000005
257,0.5,49,2.9861906975000796,1,classical,4.47296608806411,7.45915678556419
258,0.5,49,3.0,1,prediction-powered,3.9000000000000004,6.9
259,0.5,49,2.9147931553223603,1,classical,3.70929587619866,6.62408903152102
260,0.5,49,3.000000000000001,1,prediction-powered,4.3,7.300000000000001
261,0.5,49,4.1923899452277595,1,classical,3.34444415858319,7.53683410381095
262,0.5,49,4.0,1,prediction-powered,2.9000000000000004,6.9
263,0.5,49,3.68645434683835,1,classical,3.86854084512412,7.55499519196247
264,0.5,49,3.3,1,prediction-powered,4.4,7.7
265,0.5,49,3.46015889068806,1,classical,4.32725528726837,7.78741417795643
266,0.5,49,3.5,1,prediction-powered,4.4,7.9
267,0.5,49,2.7303793797904206,1,classical,3.639382160894,6.36976154068442
268,0.5,49,4.1,1,prediction-powered,3.6,7.7
269,0.5,49,5.583253447823621,1,classical,3.23224543360046,8.81549888142408
270,0.5,49,3.8,1,prediction-powered,3.7,7.5
271,0.5,49,3.1097340283551107,1,classical,4.00523995508146,7.11497398343657
272,0.5,49,3.9000000000000004,1,prediction-powered,4.0,7.9
273,0.5,49,4.26340560969922,1,classical,5.29766161850095,9.56106722820017
274,0.5,49,3.8000000000000003,1,prediction-powered,3.8000000000000003,7.6000000000000005
275,0.5,49,4.78203748324518,1,classical,2.87083512390696,7.65287260715214
276,0.5,49,3.8000000000000007,1,prediction-powered,4.4,8.200000000000001
277,0.5,49,4.3601378262491695,1,classical,4.33216674508543,8.6923045713346
278,0.5,49,3.1000000000000005,1,prediction-powered,3.5,6.6000000000000005
279,0.5,49,3.69473121746132,1,classical,4.68939087635158,8.3841220938129
280,0.5,49,2.5999999999999996,1,prediction-powered,4.1000000000000005,6.7
281,0.5,49,4.0170338212743,1,classical,4.94479728121652,8.96183110249082
282,0.5,49,3.4000000000000004,1,prediction-powered,4.2,7.6000000000000005
283,0.5,49,2.3263085403578696,1,classical,3.96366011991413,6.289968660272
284,0.5,49,5.300000000000001,1,prediction-powered,3.6,8.9
285,0.5,49,3.93283238900454,0,classical,6.37278134299566,10.3056137320002
286,0.5,49,4.5,1,prediction-powered,3.4000000000000004,7.9
287,0.5,49,3.49898436972618,1,classical,3.6694469818333,7.16843135155948
288,0.5,49,3.9000000000000004,1,prediction-powered,3.9000000000000004,7.800000000000001
289,0.5,49,4.53226398958104,1,classical,3.08963181982948,7.62189580941052
290,0.5,49,3.3,1,prediction-powered,4.2,7.5
291,0.5,49,3.53313544047995,1,classical,3.38039658245995,6.9135320229399
292,0.5,49,3.4000000000000004,1,prediction-powered,4.3,7.7
293,0.5,49,1.5769853251372203,0,classical,3.47508149563321,5.05206682077043
294,0.5,49,4.6,1,prediction-powered,2.9000000000000004,7.5
295,0.5,49,3.74294650208279,1,classical,3.74049518438825,7.48344168647104
296,0.5,49,3.4000000000000004,1,prediction-powered,4.3,7.7
297,0.5,49,3.74704790537334,1,classical,4.34727523890898,8.09432314428232
298,0.5,49,2.3,1,prediction-powered,4.2,6.5
299,0.5,49,3.9768270342717797,1,classical,3.00616075839076,6.98298779266254
300,0.5,49,3.1000000000000005,1,prediction-powered,4.0,7.1000000000000005
301,0.5,49,4.83667938969364,1,classical,5.64274593638486,10.4794253260785
302,0.5,49,2.9000000000000004,1,prediction-powered,4.2,7.1000000000000005
303,0.5,49,3.19294604546623,1,classical,3.87323333889045,7.06617938435668
304,0.5,49,3.3000000000000007,1,prediction-powered,4.5,7.800000000000001
305,0.5,49,3.7013777255444005,1,classical,4.44390946786168,8.14528719340608
306,0.5,49,4.1,1,prediction-powered,4.4,8.5
307,0.5,49,3.1715959252711796,1,classical,5.33653675897983,8.50813268425101
308,0.5,49,4.2,1,prediction-powered,4.1000000000000005,8.3
309,0.5,49,2.9392280853388,1,classical,4.59434085033604,7.53356893567484
310,0.5,49,4.2,1,prediction-powered,3.5,7.7
311,0.5,49,3.7583396276750394,1,classical,3.59454591818017,7.35288554585521
312,0.5,49,3.9000000000000012,1,prediction-powered,4.3,8.200000000000001
313,0.5,49,4.42876376200916,1,classical,4.55688342063009,8.98564718263925
314,0.5,49,3.1000000000000005,1,prediction-powered,4.2,7.300000000000001
315,0.5,49,5.3140522541475095,1,classical,4.06062395839757,9.37467621254508
316,0.5,49,3.7000000000000006,1,prediction-powered,3.6,7.300000000000001
317,0.5,49,3.58251832541667,1,classical,5.58365617173815,9.16617449715482
318,0.5,49,3.3,1,prediction-powered,4.2,7.5
319,0.5,49,3.1943351674883207,1,classical,5.33659529481484,8.53093046230316
320,0.5,49,3.3999999999999995,1,prediction-powered,4.1000000000000005,7.5
321,0.5,49,3.18601331400404,1,classical,3.98597993059296,7.171993244597
322,0.5,49,2.7,1,prediction-powered,4.4,7.1000000000000005
323,0.5,49,2.8435294679624104,1,classical,3.34397826875397,6.18750773671638
324,0.5,49,4.6000000000000005,1,prediction-powered,4.2,8.8
325,0.5,49,2.9299523197237507,0,classical,5.9494458599976,8.87939817972135
326,0.5,49,4.1000000000000005,1,prediction-powered,4.3,8.4
327,0.5,49,3.41582872705023,1,classical,4.06720363870947,7.4830323657597
328,0.5,49,4.700000000000001,1,prediction-powered,4.0,8.700000000000001
329,0.5,49,3.4276389223175396,1,classical,3.6017912342219,7.02943015653944
330,0.5,49,3.7,1,prediction-powered,4.2,7.9
331,0.5,49,2.94250643597584,1,classical,4.2027201211978,7.14522655717364
332,0.5,49,2.1000000000000005,1,prediction-powered,4.5,6.6000000000000005
333,0.5,49,4.566525762866891,1,classical,5.33982662006543,9.90635238293232
334,0.5,49,4.4,1,prediction-powered,3.9000000000000004,8.3
335,0.5,49,2.59091437674142,0,classical,3.0126420554325,5.60355643217392
336,0.5,49,3.5999999999999996,1,prediction-powered,4.5,8.1
337,0.5,49,4.3375732193349705,1,classical,3.81265932757449,8.15023254690946
338,0.5,49,3.0999999999999996,1,prediction-powered,4.1000000000000005,7.2
339,0.5,49,4.08420928070657,1,classical,3.02354295974512,7.10775224045169
340,0.5,49,2.6999999999999997,1,prediction-powered,3.8000000000000003,6.5
341,0.5,49,2.1695655830381697,1,classical,3.90419580129536,6.07376138433353
342,0.5,49,3.9000000000000004,1,prediction-powered,3.4000000000000004,7.300000000000001
343,0.5,49,1.98969552509082,0,classical,3.14481125940857,5.13450678449939
344,0.5,49,3.8,1,prediction-powered,3.4000000000000004,7.2
345,0.5,49,3.14665518389689,1,classical,3.59467743008893,6.74133261398582
346,0.5,49,4.199999999999999,1,prediction-powered,3.8000000000000003,8.0
347,0.5,49,4.05139578650331,1,classical,3.60957955540419,7.6609753419075
348,0.5,49,3.0,1,prediction-powered,4.2,7.2
349,0.5,49,3.4122092650217004,0,classical,6.3688910450886,9.7811003101103
350,0.5,49,3.2,1,prediction-powered,4.2,7.4
351,0.5,49,3.6005781845392404,1,classical,4.78849122718182,8.38906941172106
352,0.5,49,3.2,1,prediction-powered,4.4,7.6000000000000005
353,0.5,49,2.93560025127763,1,classical,3.80143247489844,6.73703272617607
354,0.5,49,3.5,1,prediction-powered,3.9000000000000004,7.4
355,0.5,49,4.30324406561317,1,classical,3.26913758126961,7.57238164688278
356,0.5,49,3.5,1,prediction-powered,5.0,8.5
357,0.5,49,4.45093817242225,1,classical,4.31960033840884,8.77053851083109
358,0.5,49,5.1000000000000005,1,prediction-powered,3.7,8.8
359,0.5,49,6.24038700471421,1,classical,3.11853989620885,9.35892690092306
360,0.5,49,3.3,1,prediction-powered,3.9000000000000004,7.2
361,0.5,49,3.6866020625148703,1,classical,5.40107940877429,9.08768147128916
362,0.5,49,3.8,1,prediction-powered,4.1000000000000005,7.9
363,0.5,49,3.7153719032869503,1,classical,4.36434594998167,8.07971785326862
364,0.5,49,3.5999999999999996,1,prediction-powered,4.5,8.1
365,0.5,49,3.3891227215449105,1,classical,4.47319530140883,7.86231802295374
366,0.5,49,5.200000000000001,1,prediction-powered,3.5,8.700000000000001
367,0.5,49,5.94533744698417,1,classical,3.4038279010655,9.34916534804967
368,0.5,49,2.8000000000000003,1,prediction-powered,3.8000000000000003,6.6000000000000005
369,0.5,49,3.56339667069617,1,classical,3.84592366803189,7.40932033872806
370,0.5,49,3.3,1,prediction-powered,3.9000000000000004,7.2
371,0.5,49,3.69611093703368,1,classical,3.06309041577778,6.75920135281146
372,0.5,49,2.3,1,prediction-powered,4.2,6.5
373,0.5,49,2.4139908814514603,0,classical,5.81024335474451,8.22423423619597
374,0.5,49,2.5999999999999996,1,prediction-powered,3.9000000000000004,6.5
375,0.5,49,2.9418345032725397,1,classical,3.57538718977183,6.51722169304437
376,0.5,49,3.0,1,prediction-powered,4.4,7.4
377,0.5,49,2.6872456850637896,1,classical,4.80944788471813,7.49669356978192
378,0.5,49,4.000000000000001,1,prediction-powered,4.2,8.200000000000001
379,0.5,49,3.705005398392239,1,classical,4.8211703549217,8.52617575331394
380,0.5,49,2.8000000000000007,1,prediction-powered,4.3,7.1000000000000005
381,0.5,49,4.17928930066943,1,classical,4.72833076147443,8.90762006214386
382,0.5,49,3.4000000000000004,1,prediction-powered,4.800000000000001,8.200000000000001
383,0.5,49,4.0369672634768,1,classical,3.88903320936408,7.92600047284088
384,0.5,49,4.0,1,prediction-powered,3.2,7.2
