system:index,ID,Latitude,Longitude,Ref_Code,Strata_Code,Type1,Type2,Type3,Year1,Year2,Year3,tree_canopy_cover_2000,tree_canopy_cover_2015,.geo
00000000000000000035,54,-7.75861436166704,-62.6613987385816,1,1,,,,,,,79.0,79.0,"{""type"":""Point"",""coordinates"":[-62.66139715781977,-7.758612877943156]}"
00000000000000000036,55,5.45254919578068,-59.2471718381795,1,1,,,,,,,60.0,61.0,"{""type"":""Point"",""coordinates"":[-59.24717049962154,5.452548636244139]}"
00000000000000000037,56,-6.85446002819968,-74.685977637393,1,1,,,,,,,74.0,80.0,"{""type"":""Point"",""coordinates"":[-74.68597850438195,-6.854458793740149]}"
00000000000000000038,57,1.37482662657213,-57.5655256262836,1,1,,,,,,,79.0,78.0,"{""type"":""Point"",""coordinates"":[-57.56552755573971,1.37482557769738]}"
0000000000000000003a,59,-11.0583060632987,-64.7534852037976,1,1,,,,,,,78.0,79.0,"{""type"":""Point"",""coordinates"":[-64.75348697636812,-11.058307525583627]}"
0000000000000000003b,60,-8.25502338767207,-61.0314954870517,1,1,,,,,,,78.0,79.0,"{""type"":""Point"",""coordinates"":[-61.031497622562114,-8.25502230271802]}"
0000000000000000003c,61,-6.25106165185588,-62.3439341171692,1,1,,,,,,,80.0,81.0,"{""type"":""Point"",""coordinates"":[-62.34393591742074,-6.25106215738996]}"
0000000000000000003d,62,2.86728763961006,-65.5317855659699,1,1,,,,,,,78.0,,"{""type"":""Point"",""coordinates"":[-65.53178739243869,2.8672867002857148]}"
0000000000000000003e,63,-4.77045840056834,-62.2544619148696,1,1,,,,,,,82.0,72.0,"{""type"":""Point"",""coordinates"":[-62.254464054783334,-4.770457784502738]}"
0000000000000000003f,64,1.74619016502757,-59.2469023435943,1,1,,,,,,,80.0,80.0,"{""type"":""Point"",""coordinates"":[-59.246902953558326,1.7461884316304594]}"
00000000000000000042,67,-1.48936182531792,-58.2282128113881,1,1,,,,,,,79.0,81.0,"{""type"":""Point"",""coordinates"":[-58.22821239969651,-1.4893620473561906]}"
00000000000000000044,69,-6.25133114644112,-69.930745680838,1,1,,,,,,,29.0,82.0,"{""type"":""Point"",""coordinates"":[-69.93074409087568,-6.251329703453166]}"
00000000000000000047,72,-3.75715876008033,-78.5176516503314,1,1,,,,,,,61.333333333333336,38.666666666666664,"{""type"":""Point"",""coordinates"":[-78.51765282590061,-3.757158283814535]}"
00000000000000000048,73,-2.27413005752566,-74.8506388289744,1,1,,,,,,,79.0,79.0,"{""type"":""Point"",""coordinates"":[-74.85063972898254,-2.2741281599542376]}"
00000000000000000049,74,-2.02808150120503,-75.753984678698,1,1,,,,,,,80.0,79.0,"{""type"":""Point"",""coordinates"":[-75.75398671589488,-2.028079422926147]}"
0000000000000000004a,75,4.29048854424229,-57.698655951392,1,1,,,,,,,70.0,69.0,"{""type"":""Point"",""coordinates"":[-57.69865401769033,4.29048906531193]}"
0000000000000000004b,76,3.25589883152062,-55.083749990811,1,1,,,,,,,71.0,68.0,"{""type"":""Point"",""coordinates"":[-55.0837479779286,3.2558973570935237]}"
0000000000000000004c,77,3.98164774956164,-66.9698086728091,1,1,,,,,,,74.0,77.0,"{""type"":""Point"",""coordinates"":[-66.96980735026548,3.9816472672492145]}"
0000000000000000004e,79,-1.61791074247558,-57.7609092005824,1,1,,,,,,,68.0,80.0,"{""type"":""Point"",""coordinates"":[-57.760907527497494,-1.6179090125249285]}"
0000000000000000004f,80,-4.7321901694648,-74.7202034497184,1,1,,,,,,,80.0,80.0,"{""type"":""Point"",""coordinates"":[-74.72020210496714,-4.732189779262065]}"
00000000000000000053,84,-6.94015930630478,-56.10567345804,1,1,,,,,,,78.0,76.0,"{""type"":""Point"",""coordinates"":[-56.10567138005417,-6.940158256886326]}"
00000000000000000055,86,-12.0389968589732,-73.3500929783596,1,1,,,,,,,73.0,80.0,"{""type"":""Point"",""coordinates"":[-73.3500942561843,-12.038997620267978]}"
00000000000000000056,87,1.37159269154929,-55.738082843773,1,1,,,,,,,66.0,77.0,"{""type"":""Point"",""coordinates"":[-55.7380809256123,1.3715927294336314]}"
00000000000000000057,88,-5.63796147044359,-65.4797731110187,1,1,,,,,,,80.0,80.0,"{""type"":""Point"",""coordinates"":[-65.47977197865023,-5.637962517147472]}"
00000000000000000059,90,7.38617284485023,-58.6677584799141,1,1,,,,,,,69.0,64.0,"{""type"":""Point"",""coordinates"":[-58.66775936783784,7.3861709215551405]}"
0000000000000000005a,91,-3.15322139456606,-57.7269528828422,1,1,,,,,,,76.0,56.0,"{""type"":""Point"",""coordinates"":[-57.72695147297551,-3.153222096236879]}"
0000000000000000005b,92,3.61998601617469,-54.0408059459332,1,1,,,,,,,64.0,75.0,"{""type"":""Point"",""coordinates"":[-54.04080437343709,3.619987417208432]}"
0000000000000000005f,96,-4.35597572847511,-58.7521102850941,1,1,,,,,,,77.0,,"{""type"":""Point"",""coordinates"":[-58.752112182465865,-4.3559754233828345]}"
00000000000000000060,97,-8.88052032000523,-57.0602232789591,1,1,,,,,,,77.0,78.0,"{""type"":""Point"",""coordinates"":[-57.060222224363216,-8.880518243889087]}"
00000000000000000061,98,2.65250045517683,-63.6552947689457,1,1,,,,,,,64.0,,"{""type"":""Point"",""coordinates"":[-63.65529510982442,2.6525007207433347]}"
00000000000000000062,99,4.2250013600299,-54.0850030579125,1,1,,,,,,,72.0,76.0,"{""type"":""Point"",""coordinates"":[-54.085002983078844,4.225002707241023]}"
00000000000000000063,100,-4.17622284012258,-77.1645193378427,1,1,,,,,,,78.0,77.0,"{""type"":""Point"",""coordinates"":[-77.16452077482825,-4.1762246008173785]}"
00000000000000000064,101,2.37465153779833,-51.3221445700348,1,1,,,,,,,9.0,59.0,"{""type"":""Point"",""coordinates"":[-51.322143970363776,2.374649675002068]}"
00000000000000000065,102,-6.25240912478206,-72.1322469476613,1,1,,,,,,,78.0,80.0,"{""type"":""Point"",""coordinates"":[-72.13224687197244,-6.2524088059081]}"
00000000000000000066,103,-2.68025839747658,-67.5610797928251,1,1,,,,,,,79.0,78.0,"{""type"":""Point"",""coordinates"":[-67.56107969085136,-2.6802586248010347]}"
00000000000000000067,104,3.19714901193914,-70.5301016384111,1,1,,,,,,,77.0,79.0,"{""type"":""Point"",""coordinates"":[-70.53010078167144,3.1971487007143735]}"
00000000000000000069,106,-0.528613628950966,-67.3902202257831,1,1,,,,,,,78.0,80.0,"{""type"":""Point"",""coordinates"":[-67.39022031578648,-0.5286130525828486]}"
0000000000000000006a,107,-1.28562391887937,-67.0840743769508,1,1,,,,,,,80.0,79.0,"{""type"":""Point"",""coordinates"":[-67.0840762738611,-1.2856257202242485]}"
0000000000000000006b,108,-6.86820425204672,-73.4322888268578,1,1,,,,,,,80.0,81.0,"{""type"":""Point"",""coordinates"":[-73.43228886590248,-6.868206202287923]}"
0000000000000000006c,109,3.49871345281841,-53.3382335622132,1,1,,,,,,,68.0,65.0,"{""type"":""Point"",""coordinates"":[-53.33823287055721,3.4987132458578656]}"
0000000000000000006e,111,-0.62266723919839,-66.7445111995487,1,1,,,,,,,79.5,84.0,"{""type"":""Point"",""coordinates"":[-66.74451126954014,-0.6226688711031825]}"
0000000000000000006f,112,-5.89478981017366,-64.8033417020669,1,1,,,,,,,79.0,78.0,"{""type"":""Point"",""coordinates"":[-64.80333972614565,-5.894788901421741]}"
00000000000000000070,113,-1.1144948572544,-77.9091328768601,1,1,,,,,,,76.0,79.0,"{""type"":""Point"",""coordinates"":[-77.90913268244002,-1.1144943399951024]}"
00000000000000000071,114,5.01893240813567,-53.9831341046919,1,1,,,,,,,75.0,65.0,"{""type"":""Point"",""coordinates"":[-53.98313481951288,5.0189322725039025]}"
00000000000000000076,119,0.607036553234271,-55.3101254424123,1,1,,,,,,,75.0,77.0,"{""type"":""Point"",""coordinates"":[-55.31012762020994,0.6070352628098011]}"
00000000000000000077,120,-3.84501399486732,-57.3747234599339,1,1,,,,,,,78.0,77.0,"{""type"":""Point"",""coordinates"":[-57.374722621662755,-3.8450159518705798]}"
00000000000000000078,121,5.98722645288925,-62.4490370054127,1,1,,,,,,,80.0,71.0,"{""type"":""Point"",""coordinates"":[-62.44903692925045,5.987226066259675]}"
00000000000000000079,122,-7.14632266401045,-60.520264258852,1,1,,,,,,,78.0,,"{""type"":""Point"",""coordinates"":[-60.5202661458856,-7.146324794092394]}"
0000000000000000007c,125,-7.63976724957789,-56.3870258050303,1,1,,,,,,,78.0,78.0,"{""type"":""Point"",""coordinates"":[-56.38702727922344,-7.639768916666716]}"
0000000000000000007d,126,-11.588132417873,-52.7741813953065,1,1,,,,,,,67.0,78.0,"{""type"":""Point"",""coordinates"":[-52.774183341902635,-11.588133453653011]}"
0000000000000000007f,128,-10.9437708645733,-75.5435094076258,1,1,,,,,,,38.0,69.0,"{""type"":""Point"",""coordinates"":[-75.54350822797012,-10.943771055924813]}"
00000000000000000081,130,2.50158348744457,-54.1992687620542,1,1,,,,,,,68.0,76.0,"{""type"":""Point"",""coordinates"":[-54.199267447573405,2.5015824455894586]}"
00000000000000000083,132,2.9346612859191,-52.4842052215885,1,1,,,,,,,64.0,74.0,"{""type"":""Point"",""coordinates"":[-52.48420354129599,2.9346592581022293]}"
00000000000000000085,134,-2.8853437768413,-65.4514761795685,1,1,,,,,,,79.0,79.0,"{""type"":""Point"",""coordinates"":[-65.45147452336506,-2.8853416004511176]}"
00000000000000000087,136,4.76318204674654,-52.9633665941448,1,1,,,,,,,60.0,60.0,"{""type"":""Point"",""coordinates"":[-52.96336516319612,4.763180531583513]}"
00000000000000000088,137,-10.1193869283359,-52.838860095764,1,1,,,,,,,68.0,73.0,"{""type"":""Point"",""coordinates"":[-52.83885814358182,-10.119385830466898]}"
00000000000000000089,138,-4.96799793154646,-60.9282790609049,1,1,,,,,,,84.0,80.0,"{""type"":""Point"",""coordinates"":[-60.92827835137695,-4.967995961170389]}"
0000000000000000008b,140,2.7670356539022,-67.6925931504221,1,1,,,,,,,81.0,76.0,"{""type"":""Point"",""coordinates"":[-67.69259195822063,2.7670371904021445]}"
0000000000000000008e,143,-2.81877861428797,-70.5619019994694,1,1,,,,,,,80.0,79.0,"{""type"":""Point"",""coordinates"":[-70.56190309038462,-2.818780599026331]}"
0000000000000000008f,144,-12.2265650902975,-70.488329977699,1,1,,,,,,,62.0,77.0,"{""type"":""Point"",""coordinates"":[-70.48832792300276,-12.226565246980124]}"
00000000000000000090,145,2.83710424606361,-56.1010920500909,1,1,,,,,,,69.0,79.0,"{""type"":""Point"",""coordinates"":[-56.101091883272275,2.8371030452549406]}"
00000000000000000091,146,-0.246452798208691,-68.9791603003565,1,1,,,,,,,80.0,79.0,"{""type"":""Point"",""coordinates"":[-68.97915854876716,-0.2464545152239537]}"
00000000000000000093,148,-9.67310389518482,-53.2258543201683,1,1,,,,,,,69.0,76.0,"{""type"":""Point"",""coordinates"":[-53.22585460580826,-9.673105619734876]}"
00000000000000000095,150,-11.5471692409171,-64.965307947796,1,1,,,,,,,80.0,80.0,"{""type"":""Point"",""coordinates"":[-64.96530765370997,-11.547167692275005]}"
00000000000000000096,151,-1.83781832402829,-50.9437741723583,1,1,,,,,,,61.0,82.0,"{""type"":""Point"",""coordinates"":[-50.943775868675736,-1.8378184991777184]}"
00000000000000000097,152,-12.6582954158459,-56.782374361577,1,1,,,,,,,59.0,66.0,"{""type"":""Point"",""coordinates"":[-56.78237563772301,-12.658295410974752]}"
0000000000000000009a,155,-1.4333069515888,-59.5578990949609,1,1,,,,,,,79.0,72.0,"{""type"":""Point"",""coordinates"":[-59.55789849742987,-1.4333066880133225]}"
0000000000000000009b,156,-6.94797464927663,-71.8670642757854,1,1,,,,,,,80.0,82.0,"{""type"":""Point"",""coordinates"":[-71.86706413232402,-6.9479750610330155]}"
0000000000000000009c,157,-8.29167465126419,-53.6794137071267,1,1,,,,,,,76.0,76.0,"{""type"":""Point"",""coordinates"":[-53.67941206945952,-8.291676113377344]}"
0000000000000000009d,158,6.09664125449513,-60.4806485548217,1,1,,,,,,,78.0,77.0,"{""type"":""Point"",""coordinates"":[-60.48064703302574,6.096639028808076]}"
0000000000000000009e,159,-8.30083746716222,-71.5234586796048,1,1,,,,,,,79.0,79.0,"{""type"":""Point"",""coordinates"":[-71.52345918244863,-8.300839566042175]}"
000000000000000000a0,161,-9.8226733899909,-52.5715214672062,1,1,,,,,,,26.0,40.0,"{""type"":""Point"",""coordinates"":[-52.571521658124574,-9.822672787269559]}"
000000000000000000a1,162,-7.90710587813217,-73.3829713177589,1,1,,,,,,,78.0,81.0,"{""type"":""Point"",""coordinates"":[-73.38297120825136,-7.907105402123957]}"
000000000000000000a2,163,-7.56107483068893,-59.9877429584183,1,1,,,,,,,78.0,79.0,"{""type"":""Point"",""coordinates"":[-59.987742461678884,-7.561074701275503]}"
000000000000000000a4,165,-8.6433650849974,-58.2128516200294,1,1,,,,,,,77.0,77.0,"{""type"":""Point"",""coordinates"":[-58.21285079656739,-8.643365413462622]}"
000000000000000000a5,166,-0.199291245792361,-51.4889617182982,1,1,,,,,,,38.0,39.0,"{""type"":""Point"",""coordinates"":[-51.488963399874244,-0.1992906033816566]}"
000000000000000000a7,168,6.97088168900128,-59.7204043298605,1,1,,,,,,,64.0,72.0,"{""type"":""Point"",""coordinates"":[-59.72040597622164,6.970881463144569]}"
000000000000000000a9,170,-0.697586733894047,-66.1098514513091,1,1,,,,,,,79.0,80.0,"{""type"":""Point"",""coordinates"":[-66.10985187570424,-0.6975862279021267]}"
000000000000000000aa,171,-6.8539210390292,-54.1235407836018,1,1,,,,,,,74.0,77.0,"{""type"":""Point"",""coordinates"":[-54.123542993483774,-6.853919242512682]}"
000000000000000000ac,173,1.96528926282458,-66.828054520973,1,1,,,,,,,78.0,76.0,"{""type"":""Point"",""coordinates"":[-66.82805252777645,1.965290820992576]}"
000000000000000000ae,175,-0.12329377275576,-62.0951906149929,1,1,,,,,,,79.0,84.0,"{""type"":""Point"",""coordinates"":[-62.09518942425531,-0.12329414412777853]}"
000000000000000000b0,177,-4.39559143250482,-75.3710328730724,1,1,,,,,,,76.0,78.0,"{""type"":""Point"",""coordinates"":[-75.3710346583239,-4.395590077141649]}"
000000000000000000b1,178,-8.18953620345968,-68.3426140900203,1,1,,,,,,,77.0,79.0,"{""type"":""Point"",""coordinates"":[-68.34261295518566,-8.18953594464711]}"
000000000000000000b3,180,-3.65879323646912,-64.4724023513926,1,1,,,,,,,80.0,81.0,"{""type"":""Point"",""coordinates"":[-64.47240308236312,-3.658794973676573]}"
000000000000000000b4,181,3.1998439577915,-52.6502138860962,1,1,,,,,,,67.0,64.0,"{""type"":""Point"",""coordinates"":[-52.65021587351578,3.1998419977506556]}"
000000000000000000b6,183,1.07919106656804,-65.8411653498251,1,1,,,,,,,79.0,79.0,"{""type"":""Point"",""coordinates"":[-65.8411642826278,1.0791916369549714]}"
000000000000000000b8,185,-2.50373944414688,-53.8788397002041,1,1,,,,,,,63.0,80.0,"{""type"":""Point"",""coordinates"":[-53.87884090497383,-2.503740650499326]}"
000000000000000000b9,186,-9.74020804690863,-55.3459682222492,1,1,,,,,,,77.0,76.0,"{""type"":""Point"",""coordinates"":[-55.34596987447754,-9.740206172387131]}"
000000000000000000bb,188,-1.49690767370453,-65.3765566848718,1,1,,,,,,,80.0,80.0,"{""type"":""Point"",""coordinates"":[-65.37655716656613,-1.4969068463386213]}"
000000000000000000bc,189,-7.31071436100452,-68.4318167977346,1,1,,,,,,,80.0,80.0,"{""type"":""Point"",""coordinates"":[-68.43181727175984,-7.310714013528732]}"
000000000000000000bd,190,-10.3665134629975,-72.1104178862569,1,1,,,,,,,78.0,77.0,"{""type"":""Point"",""coordinates"":[-72.11041957231582,-10.366513669949923]}"
000000000000000000be,191,0.841766336974979,-69.5849841279754,1,1,,,,,,,79.0,80.0,"{""type"":""Point"",""coordinates"":[-69.58498539519148,0.8417668013642458]}"
000000000000000000c0,193,1.78850081490965,-70.6314316024613,1,1,,,,,,,78.0,78.0,"{""type"":""Point"",""coordinates"":[-70.63142939400994,1.7885008415266077]}"
000000000000000000c2,195,-6.36209342097319,-66.4890303327414,1,1,,,,,,,79.0,80.0,"{""type"":""Point"",""coordinates"":[-66.48903153378401,-6.362093773620762]}"
000000000000000000c3,196,-5.94383782468664,-74.8350081430305,1,1,,,,,,,78.0,81.0,"{""type"":""Point"",""coordinates"":[-74.83500612068916,-5.943839013009646]}"
000000000000000000c6,199,-5.90395262607169,-66.1656368304538,1,1,,,,,,,79.0,80.0,"{""type"":""Point"",""coordinates"":[-66.16563522988285,-5.903952354086573]}"
000000000000000000c7,200,-1.3290125471024,-55.5068564896373,1,1,,,,,,,75.0,79.0,"{""type"":""Point"",""coordinates"":[-55.50685869958692,-1.329012773474277]}"
000000000000000000c8,201,1.57371363047642,-71.4579714953915,1,1,,,,,,,77.0,78.0,"{""type"":""Point"",""coordinates"":[-71.45797282437773,1.5737148619842263]}"
000000000000000000c9,202,-4.43035623400029,-77.3291805294242,1,1,,,,,,,78.0,79.0,"{""type"":""Point"",""coordinates"":[-77.32918199942884,-4.430357688055367]}"
000000000000000000ca,203,-8.67597392981098,-70.1541566920017,1,1,,,,,,,80.0,79.0,"{""type"":""Point"",""coordinates"":[-70.15415843095647,-8.67597481946647]}"
000000000000000000cd,206,-6.13652645313051,-56.2910857326849,1,1,,,,,,,78.0,79.0,"{""type"":""Point"",""coordinates"":[-56.2910852609575,-6.13652568773115]}"
000000000000000000ce,207,4.42873926646845,-62.8093512658782,1,1,,,,,,,77.0,67.0,"{""type"":""Point"",""coordinates"":[-62.8093501307731,4.428739034372964]}"
000000000000000000cf,208,4.77018890596268,-54.5560795929116,1,1,,,,,,,73.0,76.0,"{""type"":""Point"",""coordinates"":[-54.55608025476907,4.77019023843953]}"
000000000000000000d0,209,3.34698800133045,-53.9181859096491,1,1,,,,,,,73.0,72.0,"{""type"":""Point"",""coordinates"":[-53.91818801266943,3.346987873413316]}"
000000000000000000d1,210,-16.1258822440797,-66.2025575886316,1,1,,,,,,,80.0,79.0,"{""type"":""Point"",""coordinates"":[-66.20255658660538,-16.125884131479566]}"
000000000000000000d2,211,-0.298465253159273,-71.0620839496744,1,1,,,,,,,79.0,80.0,"{""type"":""Point"",""coordinates"":[-71.0620849146507,-0.29846546991134637]}"
000000000000000000d3,212,2.00032355890529,-68.6988859317072,1,1,,,,,,,80.0,76.0,"{""type"":""Point"",""coordinates"":[-68.69888621115388,2.0003215188684473]}"
000000000000000000d4,213,5.08900100029708,-56.519347646383,1,1,,,,,,,68.0,75.0,"{""type"":""Point"",""coordinates"":[-56.519346643883395,5.08900258645775]}"
000000000000000000d5,214,-7.16545677956222,-67.7319393598671,1,1,,,,,,,78.0,81.0,"{""type"":""Point"",""coordinates"":[-67.73193906591625,-7.165458796712732]}"
000000000000000000d6,215,-7.5265795237787,-71.1130184262847,1,1,,,,,,,75.0,80.0,"{""type"":""Point"",""coordinates"":[-71.11301676688315,-7.5265790955260465]}"
000000000000000000d7,216,-7.18459089511399,-62.997997475546,1,1,,,,,,,78.0,78.0,"{""type"":""Point"",""coordinates"":[-62.99799685994019,-7.184592799333068]}"
000000000000000000d9,218,6.04058638076601,-59.2113290583426,1,1,,,,,,,58.0,,"{""type"":""Point"",""coordinates"":[-59.21132824535395,6.04058812856626]}"
000000000000000000da,219,-10.4559856652959,-74.1615411745165,1,1,,,,,,,47.0,,"{""type"":""Point"",""coordinates"":[-74.16153917038513,-10.455985532587318]}"
000000000000000000db,220,-0.978669586295376,-69.8216003738159,1,1,,,,,,,80.0,81.0,"{""type"":""Point"",""coordinates"":[-69.82159867439049,-0.9786701219071408]}"
000000000000000000dc,221,-4.06626904934622,-57.2744714742247,1,1,,,,,,,77.0,77.0,"{""type"":""Point"",""coordinates"":[-57.274473111779194,-4.066267627940458]}"
000000000000000000de,223,-5.90583908816834,-75.5063191548627,1,1,,,,,,,80.0,85.0,"{""type"":""Point"",""coordinates"":[-75.50631932518439,-5.90583855383218]}"
000000000000000000e0,225,-7.1824349384321,-65.1722797892601,1,1,,,,,,,71.0,77.0,"{""type"":""Point"",""coordinates"":[-65.1722812882067,-7.182434594423201]}"
000000000000000000e1,226,3.07372049190097,-58.4322202124146,1,1,,,,,,,61.0,61.0,"{""type"":""Point"",""coordinates"":[-58.432220731992714,3.0737207835549922]}"
000000000000000000e2,227,-1.10048113882212,-51.8031924046878,1,1,,,,,,,48.0,52.0,"{""type"":""Point"",""coordinates"":[-51.80319179200952,-1.1004793853841222]}"
000000000000000000e3,228,3.98542067375495,-65.1954563235907,1,1,,,,,,,83.0,76.0,"{""type"":""Point"",""coordinates"":[-65.19545523638146,3.9854196667404285]}"
000000000000000000e4,229,2.1151282522159,-55.1503151533652,1,1,,,,,,,66.0,73.0,"{""type"":""Point"",""coordinates"":[-55.15031343845443,2.1151299936915176]}"
000000000000000000e6,231,1.11961525435347,-62.945176536839,1,1,,,,,,,76.0,79.0,"{""type"":""Point"",""coordinates"":[-62.945174348861066,1.1196133880044583]}"
000000000000000000e7,232,3.06240171932105,-64.2988478384982,1,1,,,,,,,78.0,,"{""type"":""Point"",""coordinates"":[-64.29884595116089,3.062403585081346]}"
000000000000000000e8,233,-7.07275064224098,-64.9690808719894,1,1,,,,,,,79.0,80.0,"{""type"":""Point"",""coordinates"":[-64.96908005320118,-7.0727496267105385]}"
